relative_path;id;num_colors;notes;weight_gsm;pattern;composition;cotton_pct;wool_pct;linen_pct;silk_pct;viscose_pct;modal_pct;lyocell_pct;acetate_pct;polyester_pct;polyamide_pct;elastane_pct;acrylic_pct;fleece_wool_WV;other_pct;thickness_mm;images
dataset_root/312L_L165;312L_L165;16;100% Polyamide;;;100% Polyamide;0;0;0;0;0;0;0;0;0;100;0;0;0;;0.52;1936
dataset_root/00547_780605;00547_780605;4;"Art: 00547
Design: 780605
Rapport: All Over
WIDTH: 150
COMPOSITION: 18% EA 82%PA
QUALITY: 190gr/m2";190;All Over;"18% Elastane
82% Polyacrylic";0;0;0;0;0;0;0;0;0;0;18;82;0;;0.65;484
dataset_root/00547_880100;00547_880100;4;"Art: 00547
Design: 880100
Rapport: All Over
18% Elastane
82% PA";190;All Over;"18% Elastane
82% Polyacrylic";0;0;0;0;0;0;0;0;0;0;18;82;0;;0.66;484
dataset_root/00547_880206;00547_880206;3;"Art: 00547
Design: 880206
Rapport: All Over
COMPOSITION: 82% Polyamide 18% Elastane Lycra
WEIGHT: 190/m2";190;All Over;82% Polyamide 18% Elastane;0;0;0;0;0;0;0;0;0;82;18;0;0;;0.61;363
dataset_root/5412Q_00_MUSEL;5412Q_00_MUSEL;1;100% Polyester;72;Jacquard;100% Polyester;0;0;0;0;0;0;0;0;100;0;0;0;0;;0.17;1936
dataset_root/5612A_00_PREOLA;5612A_00_PREOLA;1;"Art. 5612A 00 PREOLA
Jaq. Des. 0000
Print des. 9076
Composit 100% PL
Season B9ES
Col. 501 002. 50gr/m2";50;Jacquard;100% Polyester;0;0;0;0;0;0;0;0;100;0;0;0;0;;0.15;242
dataset_root/8419_1475;8419_1475;2;"DESIGN: 8419
ART: 1475
WIDTH: 145
COMPOSITION: 92% Polyamide 8% Elastane Lycra
WEIGHT: 200gr/m2";200;Cont;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.58;242
dataset_root/8421_5007;8421_5007;3;85% Polyamide 15% Elastane;175;Cont;85% Polyamide 15% Elastane;0;0;0;0;0;0;0;0;0;85;15;0;0;;0.4;363
dataset_root/8426_1975;8426_1975;4;"DESIGN: 8426
ART: 1975
WIDTH: 145
COMPOSITION: 92% Polyamide 8% Elastanee Lycra
WEIGHT: 207/m2";207;Cont;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.52;484
dataset_root/8435_1475;8435_1475;2;"DESIGN: 8435
ART: 1475
WIDTH: 145
COMPOSITION: 92% Polyamide 8% Elastanee Lycra
WEIGHT: 200gr/m2";200;;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.57;242
dataset_root/8444_1975;8444_1975;4;92% Polyamide 8% Elastane;207;Cont;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.56;484
dataset_root/8519;8519;3;92% Polyamide 8% Elastane;;;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.53;363
dataset_root/8523_1100;8523_1100;1;100% Cotton;120;Cont;100% Cotton;100;0;0;0;0;0;0;0;0;0;0;0;0;;0.24;121
dataset_root/8523_1475;8523_1475;3;92% Polyamide 8% Elastane;200;Cont;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.57;363
dataset_root/8526_1475;8526_1475;2;92% Polyamide 8% Elastane;145;;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.55;
dataset_root/8537_1475;8537_1475;2;"DESIGN: 8537
Art: 1475
WIDTH: 145
COMPOSITION: %92 polyamide %8 Elastane lycra
QUALITY: 200 gr/m2";200;Cont;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.58;242
dataset_root/8539_1475;8539_1475;3;"DESIGN: 8539
ART: 1475
WIDTH: 145
COMPOSITION: 92% Polyamide 8% Elastanee Lycra
WEIGHT: 100/m2";200;Cont;92% Polyamide 8% Elastane;0;0;0;0;0;0;0;0;0;92;8;0;0;;0.55;362
dataset_root/9274_500;9274_500;2;"DESIGN: 9274
Art: 500
WIDTH: 140
COMPOSITION: %80 polyamide %20 Elastane lycra
QUALITY: 70 gr/m2";70;Cont;80% Polyamide 20% Elastane;0;0;0;0;0;0;0;0;0;80;20;0;0;;0.3;246
dataset_root/69705;69705;1;81% Polyester 19% Elastanee;60;;81% Polyester 19% Elastanee;0;0;0;0;0;0;0;0;81;0;19;0;0;;0.2;122
